bird_y,dist_top,dist_bottom,velocity,dist_to_pipe,action
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,1
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
329.5,142.5,342.5,-10.5,360,1
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
329.5,142.5,342.5,-10.5,360,1
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
371.0,101.0,301.0,0,360,0
329.5,142.5,342.5,-10.5,360,1
329.5,142.5,342.5,-10.5,360,1
387.0,85.0,285.0,0,355,0
318.5,153.5,353.5,-10.5,355,1
387.0,85.0,285.0,0,355,0
387.0,85.0,285.0,0,355,0
387.0,85.0,285.0,0,355,0
387.0,85.0,285.0,0,355,0
360.0,112.0,312.0,-10.5,355,0
318.5,153.5,353.5,-10.5,355,1
387.0,85.0,285.0,0,355,0
318.5,153.5,353.5,-10.5,355,1
387.0,85.0,285.0,0,355,0
387.0,85.0,285.0,0,355,0
387.0,85.0,285.0,0,355,0
387.0,85.0,285.0,0,355,0
318.5,153.5,353.5,-10.5,355,1
318.5,153.5,353.5,-10.5,355,1
